CarID,CarLabel,Name,ModelPath
231,`soarer_430scv_01`,Toyota SOARER 430SCV '01,0004/0038
232,`vitz_euro_00`,Toyota Vitz U Euro Sport Edition '00,0004/0039
233,`mines_evo6_00`,Mine's LANCER EVOLUTION VI '00,0068/0002
234,`mines_r34_00`,Mine's BNR34 SKYLINE GT-R V?spec N1 base '00,0068/0001
273,`jazz_14_dsi_se_sp_01`,Honda JAZZ 1.4 DSi SE Sport '01,0005/0029
274,`s2000_eu_03`,HONDA S2000 (EU) '03,0005/0030
275,`mazda2_03`,Mazda2 '03,0001/0011
276,`mx5_eu_89`,Mazda MX-5 (NA) '89,0001/0012
278,`_350z_roadster_03`,"Nissan 350Z Roadster (Z33, US) '03",0003/0119
279,`_240zg_71`,Nissan 240ZG (HS30) '71,0003/0031
280,`yaris_15_16v_00`,Toyota Yaris RS 1.5 (J) '00,0004/0040
281,`_120i_04`,BMW 120i '04,0007/0002
282,`pescarolo_c60_lmp1_04`,Pescarolo-Courage - Judd GV5 '04,0169/0001
283,`opel_vectra_32v6_jp_03`,Opel Vectra 3.2 V6 '03,0039/0004
284,`kei_works_4wd_02`,Suzuki Kei WORKS '02,0006/0004
285,`taurus_sho_98`,Ford Taurus SHO '98,0002/0005
289,`civic_r_01`,Honda CIVIC TYPE R (EP) '01,0005/0033
291,`integra_r_lm_01`,Honda INTEGRA TYPE R Touring Car,0005/0035
293,`nsx_r_92`,Honda NSX Type R '92,0005/0037
294,`garaiya_02`,Autobacs Garaiya '02,0084/0002
295,`dome_zero_78`,DOME-ZERO '78,0017/0001
296,`_787b_91`,Mazda 787B '91,0001/0102
297,`atenza_5hb_n1_01`,Mazda Atenza Touring Car,0001/0020
298,`roadster_18rs_98`,Mazda Roadster 1.8 RS (NB) '98,0001/0022
299,`rx7_a3_90`,Mazda SAVANNA RX-7 INFINI III (FC) '90,0001/0017
300,`fto_lm_race_00`,Mitsubishi FTO    Super Touring Car,0012/0018
301,`lancer_evo4_96`,Mitsubishi Lancer Evolution IV    GSR '96,0012/0081
302,`lancer_evo6_gsr_99`,Mitsubishi Lancer Evolution VI    GSR '99,0012/0019
304,`starion_4wd_gpb_84`,Mitsubishi STARION    4WD Rally Car '84,0012/0021
306,`cube_x_98`,Nissan CUBE X '98,0003/0034
307,`s13_ks_91`,Nissan SILVIA K's (S13) '91,0003/0037
308,`r32_gtst_m_91`,Nissan SKYLINE GTS-t Type M (R32) '91,0003/0038
309,`impreza_wg_wrx_99`,Subaru IMPREZA Sport Wagon WRX STi Version VI '99,0020/0017
311,`cien_dmv_02`,Cadillac CIEN '02,0056/0001
312,`camaro_ss_00`,Chevrolet Camaro SS '00,0022/0009
313,`corvette_cr5_00`,Chevrolet Corvette C5-R (C5) '00,0022/0008
314,`viper_gtsr_00`,SRT Viper GTS R Concept '00,0051/0004
315,`cobra_67`,Shelby Cobra 427 '66,0071/0004
316,`gt40_race_69`,Ford GT40 Race Car '69,0002/0007
317,`mustang_svt_cobrar_00`,Ford Mustang SVT Cobra R '00,0002/0008
319,`rs6_02`,Audi RS 6 '02,0057/0005
320,`tt_00`,Audi TT Coupe 1.8T quattro '00,0057/0002
321,`tt_dtm_02`,Abt Audi TT-R '02,0057/0003
322,`_3400s_00`,RUF 3400S '00,0070/0004
323,`opel_astra_race_00`,Opel Astra V8 Coupé (Opel Team Phoenix) '00,0039/0002
325,`opel_corsa_comf_14_3dr_01`,Opel Corsa Comfort 1.4 '01,0039/0005
326,`w12_tmv_01`,Volkswagen W12 Nardò '01,0037/0008
327,`coupe_turboplus_00`,Fiat Coupe Turbo Plus '00,0024/0004
328,`zonda_c12s_gmv_02`,Pagani Zonda C12S 7.3 '02,0080/0001
329,`zonda_race_00`,Pagani Zonda LM Race Car,0080/0002
330,`pescarolo_c60_03`,Pescarolo Sport Courage C60 - Peugeot '03,0169/0002
332,`_206cc_20_01`,Peugeot 206 CC '01,0025/0003
334,`clio_sport_v6_00`,Renault Sport Clio V6 24V '00,0044/0017
335,`clio_sport_race_00`,Renault Sport Clio V6 Trophy 24V '00,0044/0005
337,`s_type_r_02`,Jaguar S-TYPE R '02,0008/0002
339,`xkr_rperform_02`,Jaguar XKR R Performance '02,0008/0001
340,`esprit_sport350_00`,Lotus Esprit Sport 350 '00,0009/0006
342,`cerbera_speed12_00`,TVR Cerbera Speed 12 '00,0015/0005
